"","categories_names"
"1","Name"
"2","Address"
"3","UserRating"
"4","Preis"
"5","Fahrzeugzustand"
"6","Kategorie"
"7","Herkunft"
"8","Kilometerstand"
"9","Hubraum"
"10","Leistung"
"11","Kraftstoffart"
"12","Verbrauch"
"13","Emissionen"
"14","Energieeffizienzklasse"
"15","Sitzplätze"
"16","Türen"
"17","Getriebe"
"18","Schadstoffklasse"
"19","Umweltplakette"
"20","Erstzulassung"
"21","Baujahr"
"22","Anzahl der Fahrzeughalter"
"23","HU"
"24","Klimatisierung"
"25","Einparkhilfe"
"26","Airbags"
"27","Farbe (Hersteller)"
"28","Farbe"
"29","Innenausstattung"
"30","ABS"
"31","Alarmanlage"
"32","Armlehne"
"33","Berganfahrassistent"
"34","Bi-Xenon Scheinwerfer"
"35","Bluetooth"
"36","Bordcomputer"
"37","CD-Spieler"
"38","Elektr. Fensterheber"
"39","Elektr. Seitenspiegel"
"40","Elektr. Sitzeinstellung"
"41","ESP"
"42","Fernlichtassistent"
"43","Freisprecheinrichtung"
"44","Garantie"
"45","Geschwindigkeitsbegrenzer"
"46","Isofix"
"47","Lederlenkrad"
"48","LED-Tagfahrlicht"
"49","Leichtmetallfelgen"
"50","Lichtsensor"
"51","Müdigkeitswarner"
"52","Multifunktionslenkrad"
"53","Navigationssystem"
"54","Notbremsassistent"
"55","Pannenkit"
"56","Regensensor"
"57","Reifendruckkontrolle"
"58","Scheckheftgepflegt"
"59","Scheinwerferreinigung"
"60","Servolenkung"
"61","Sitzbelüftung"
"62","Sitzheizung"
"63","Skisack"
"64","Sportpaket"
"65","Sportsitze"
"66","Start/Stopp-Automatik"
"67","Tempomat"
"68","Traktionskontrolle"
"69","Tuner/Radio"
"70","USB"
"71","Winterreifen"
"72","Zentralverriegelung"
"73","Elektr. Wegfahrsperre"
"74","Nebelscheinwerfer"
"75","Panorama-Dach"
"76","Sommerreifen"
"77","Sportfahrwerk"
"78","Tagfahrlicht"
"79","Abstandswarner"
"80","Ambiente-Beleuchtung"
"81","Innenspiegel autom. abblendend"
"82","Kurvenlicht"
"83","Lordosenstütze"
"84","Musikstreaming integriert"
"85","Nichtraucher-Fahrzeug"
"86","Notrufsystem"
"87","Partikelfilter"
"88","Schaltwippen"
"89","Schiebedach"
"90","Sprachsteuerung"
"91","Spurhalteassistent"
"92","Totwinkel-Assistent"
"93","Adaptives Kurvenlicht"
"94","Schlüssellose Zentralverriegelung"
"95","Soundsystem"
"96","Umklappbarer Beifahrersitz"
"97","Winterpaket"
"98","Abstandstempomat"
"99","Allradantrieb"
"100","LED-Scheinwerfer"
"101","Verkehrszeichenerkennung"
"102","Anhängerkupplung schwenkbar"
"103","Luftfederung"
"104","Raucherpaket"
"105","Anhängerkupplung abnehmbar"
"106","Dachreling"
"107","Elektr. Heckklappe"
"108","Standheizung"
"109","Sitzheizung hinten"
"110","Isofix Beifahrersitz"
"111","WLAN / Wifi Hotspot"
"112","Notrad"
"113","Xenonscheinwerfer"
"114","Blendfreies Fernlicht"
"115","Gepäckraumabtrennung"
"116","Android Auto"
"117","Apple CarPlay"
"118","Head-Up Display"
"119","Anhängerkupplung fest"
"120","Beheizbare Frontscheibe"
"121","Radio DAB"
"122","TV"
"123","Allwetterreifen"
"124","Touchscreen"
"125","Volldigitales Kombiinstrument"
"126","Multi-CD-Wechsler"
"127","Nachtsicht-Assistent"
"128","Massagesitze"
"129","Reserverad"
"130","Induktionsladen für Smartphones"
"131","Elektr. Sitzeinstellung, hinten"
